,created_at,source,polarity,subjectivity,lang,favorite_count,retweet_count,original_author,followers_count,friends_count,hashtags,user_mentions,place
3122,2021-06-18 23:16:56+00:00,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0.023905723905723892,0.4447811447811448,en,,,BridgetGoulding,1091,2022,"[{'text': 'COVID19', 'indices': [123, 131]}]","[{'screen_name': 'paulreiddublin', 'name': 'Paul Reid', 'id': 255147207, 'id_str': '255147207', 'indices': [3, 18]}]","Cork, Ireland"
3123,2021-06-18 23:17:00+00:00,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0.20833333333333331,0.29166666666666663,en,,,Enterafricaaol2,200,820,[],[],
3124,2021-06-18 23:17:01+00:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",-0.0625,0.25,en,,,JanieResists,4004,5001,"[{'text': 'COVID19', 'indices': [26, 34]}]","[{'screen_name': 'CDCgov', 'name': 'CDC', 'id': 146569971, 'id_str': '146569971', 'indices': [3, 10]}]","USA~""True Blue"" In AZ! "
3125,2021-06-18 23:17:02+00:00,"<a href=""https://help.twitter.com/en/using-twitter/how-to-tweet#source-labels"" rel=""nofollow"">Vaccine finder</a>",-0.75,1.0,en,,,PuneUpdater,88,0,[],[],
3126,2021-06-18 23:17:02+00:00,"<a href=""https://help.twitter.com/en/using-twitter/how-to-tweet#source-labels"" rel=""nofollow"">Vaccine finder</a>",-0.75,1.0,en,,,PuneUpdater,88,0,[],[],
3127,2021-06-18 23:17:09+00:00,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0.1875,0.4375,en,,,TomSear,1492,4792,"[{'text': 'DeltaVariant', 'indices': [29, 42]}, {'text': 'coronavirus', 'indices': [50, 62]}, {'text': 'vaccines', 'indices': [99, 108]}, {'text': 'COVID19', 'indices': [129, 137]}]","[{'screen_name': 'EUDataNewsHub', 'name': 'EU Data News Hub🇪🇺', 'id': 413969928, 'id_str': '413969928', 'indices': [3, 17]}]","Canberra, Australia"
3128,2021-06-18 23:17:15+00:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",0.075,0.32499999999999996,en,,,laurieallee,2918,4876,"[{'text': 'DeltaVariant', 'indices': [42, 55]}]",[],Los Angeles
3129,2021-06-18 23:17:16+00:00,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0.6444444444444445,0.9111111111111111,en,,,karimaDivine,1074,1947,"[{'text': 'WeCanDoThis', 'indices': [44, 56]}, {'text': 'COVID19', 'indices': [121, 129]}]","[{'screen_name': 'CDCDirector', 'name': 'Rochelle Walensky, MD, MPH', 'id': 426909329, 'id_str': '426909329', 'indices': [3, 15]}]",England
3130,2021-06-18 23:17:17+00:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",-0.125,1.0,en,,,ia_tfc,76,396,[],"[{'screen_name': 'ModelYendofICE', 'name': 'Model Y - End of the ICE age', 'id': 964873845663522816, 'id_str': '964873845663522816', 'indices': [3, 18]}]",
3131,2021-06-18 23:17:22+00:00,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",-0.15833333333333335,0.15,en,,,Traceva001,1514,4273,"[{'text': 'COVID19', 'indices': [91, 99]}]","[{'screen_name': 'WHO', 'name': 'World Health Organization (WHO)', 'id': 14499829, 'id_str': '14499829', 'indices': [3, 7]}, {'screen_name': 'DrTedros', 'name': 'Tedros Adhanom Ghebreyesus', 'id': 189868631, 'id_str': '189868631', 'indices': [9, 18]}]","London, England"
