,created_at,source,original_text,polarity,subjectivity,lang,favorite_count,original_author,followers_count,friends_count,possibly_sensitive,hashtags,user_mentions,place,clean_text,flattened_hashtags
3447,2021-06-19 00:13:26+00:00,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @migovernment: .@GovWhitmer announces state will open to full capacity on June 22. More than nine million vaccines administered as new C…,0.24659090909090908,0.5011363636363636,en,,CanaryAmerica,2585,4982,,[],"[{'screen_name': 'migovernment', 'name': 'Michigan.gov', 'id': 16780392, 'id_str': '16780392', 'indices': [3, 16]}, {'screen_name': 'GovWhitmer', 'name': 'Governor Gretchen Whitmer', 'id': 102071743, 'id_str': '102071743', 'indices': [19, 30]}]",,RT @migovernment @GovWhitmer announces state will open to full capacity on June  More than nine million vaccines administered as new C,#SDGs
3448,2021-06-19 00:13:28+00:00,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @shawajason: Liars. You tried to load off your expired vaccines. Just another war crime by Israel. https://t.co/TI0vK8DQLw,0.0,0.0,en,,nnndddhhhh,36,99,False,[],"[{'screen_name': 'shawajason', 'name': 'J. Shawa  جاسم الشوا', 'id': 431029718, 'id_str': '431029718', 'indices': [3, 14]}]",,RT @shawajason Liars You tried to load off your expired vaccines Just another war crime by Israel httpstcoTIvKDQLw,#coronavirus
3449,2021-06-19 00:13:39+00:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","@NewsHour ⚕️ Learn from the Experts at @CDCgov

✅ For the BEST PROTECTION against #COVID19, @CDCgov recommends gett… https://t.co/lJFA4CZQMF",1.0,0.3,en,,Rosenchild,13363,12138,False,['#COVID'],"[{'screen_name': 'NewsHour', 'name': 'PBS NewsHour', 'id': 14437914, 'id_str': '14437914', 'indices': [0, 9]}, {'screen_name': 'CDCgov', 'name': 'CDC', 'id': 146569971, 'id_str': '146569971', 'indices': [39, 46]}, {'screen_name': 'CDCgov', 'name': 'CDC', 'id': 146569971, 'id_str': '146569971', 'indices': [92, 99]}]","New York, NY","@NewsHour  Learn from the Experts at @CDCgov

 For the BEST PROTECTION against #COVID @CDCgov recommends gett httpstcolJFACZQMF",#COVID
3450,2021-06-19 00:13:43+00:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","RT @Rosenchild: @NewsHour ⚕️ Learn from the Experts at @CDCgov

✅ For the BEST PROTECTION against #COVID19, @CDCgov recommends getting Two…",1.0,0.3,en,,Rosenchild,13363,12138,,['#COVID'],"[{'screen_name': 'Rosenchild', 'name': 'VonVictor V. Rosenchild', 'id': 480875170, 'id_str': '480875170', 'indices': [3, 14]}, {'screen_name': 'NewsHour', 'name': 'PBS NewsHour', 'id': 14437914, 'id_str': '14437914', 'indices': [16, 25]}, {'screen_name': 'CDCgov', 'name': 'CDC', 'id': 146569971, 'id_str': '146569971', 'indices': [55, 62]}, {'screen_name': 'CDCgov', 'name': 'CDC', 'id': 146569971, 'id_str': '146569971', 'indices': [108, 115]}]","New York, NY","RT @Rosenchild @NewsHour  Learn from the Experts at @CDCgov

 For the BEST PROTECTION against #COVID @CDCgov recommends getting Two",#coronavirus
3451,2021-06-19 00:13:58+00:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",RT @shawajason: Liars. You tried to load off your expired vaccines. Just another war crime by Israel. https://t.co/MBBXzCwqqZ https://t.co/…,0.0,0.0,en,,mfgsh4,4,206,False,[],"[{'screen_name': 'shawajason', 'name': 'J. Shawa  جاسم الشوا', 'id': 431029718, 'id_str': '431029718', 'indices': [3, 14]}]",,RT @shawajason Liars You tried to load off your expired vaccines Just another war crime by Israel httpstcoMBBXzCwqqZ httpstco,#COVID
3452,2021-06-19 00:13:59+00:00,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@ThaiPBSWorld ""Thailand is in the midst of a surge in #COVID19 that started in April and has accounted for more tha… https://t.co/NqrJav6yIn",0.5,0.5,en,,joseph11lim,58,247,,['#COVID'],"[{'screen_name': 'ThaiPBSWorld', 'name': 'Thai PBS World', 'id': 1579759820, 'id_str': '1579759820', 'indices': [0, 13]}]",where the heart is,@ThaiPBSWorld Thailand is in the midst of a surge in #COVID that started in April and has accounted for more tha httpstcoNqrJavyIn,#WeCanDoThis
3453,2021-06-19 00:14:03+00:00,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @MediccGail: BioCubaFarma says phase 3 clinical trial results for #Cuban #COVID19 #vaccines are due out in a few days. Soberana02 (with…,-0.1625,0.2375,en,,MaydaMauriBCF,3736,1485,,"['#Cuban', '#COVID', '#vaccines']","[{'screen_name': 'MediccGail', 'name': 'GailReedMEDICC', 'id': 785263274992529408, 'id_str': '785263274992529408', 'indices': [3, 14]}]",,RT @MediccGail BioCubaFarma says phase  clinical trial results for #Cuban #COVID #vaccines are due out in a few days Soberana with,#COVID
3454,2021-06-19 00:14:08+00:00,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @CDCDirector: I’m pleased to welcome the #WeCanDoThis bus to Atlanta today! Remember, there are 3 easy ways to find a #COVID19 vaccine n…",0.6444444444444445,0.9111111111111111,en,,LaterMornings,79,315,,"['#WeCanDoThis', '#COVID']","[{'screen_name': 'CDCDirector', 'name': 'Rochelle Walensky, MD, MPH', 'id': 426909329, 'id_str': '426909329', 'indices': [3, 15]}]",USA,RT @CDCDirector Im pleased to welcome the #WeCanDoThis bus to Atlanta today Remember there are  easy ways to find a #COVID vaccine n,#COVID
3455,2021-06-19 00:14:44+00:00,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @TelGlobalHealth: ""Africa is in the midst of a full-blown third wave,"" @MoetiTshidi said. ""The sobering trajectory of surging cases shou…",0.0,0.0,en,,JWillieii,742,185,,[],"[{'screen_name': 'TelGlobalHealth', 'name': 'Telegraph Global Health Security', 'id': 1149218984346230784, 'id_str': '1149218984346230784', 'indices': [3, 19]}, {'screen_name': 'MoetiTshidi', 'name': 'Dr Matshidiso Moeti', 'id': 2412739760, 'id_str': '2412739760', 'indices': [74, 86]}]",,RT @TelGlobalHealth Africa is in the midst of a fullblown third wave @MoetiTshidi said The sobering trajectory of surging cases shou,#COVID
3456,2021-06-19 00:15:05+00:00,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @AmitAryaMD: Just 10 countries have received 75% of the world’s #COVID19 vaccine doses.

But the entire continent of Africa, currently e…",0.0,0.5125,en,,Wendydaisy6,6,78,,['#COVID'],"[{'screen_name': 'AmitAryaMD', 'name': 'Dr. Amit Arya', 'id': 3014537423, 'id_str': '3014537423', 'indices': [3, 14]}]",,"RT @AmitAryaMD Just  countries have received  of the worlds #COVID vaccine doses

But the entire continent of Africa currently e",#WeCanDoThis
